# dataset/evaluation_labeled_data.csv
# File nay duoc su dung de danh gia mo hinh
# Dinh dang cot: ssh_failed_count,ssh_distinct_users,http_404_count,sqli_attempt_count,label

# Hanh vi binh thuong (label=0)
1,1,10,0,0
0,0,5,0,0
2,1,15,0,0
3,2,8,0,0
0,0,25,0,0

# Hanh vi tan cong SSH Brute-force (label=1)
50,3,2,0,1
75,1,10,0,1
204,1,0,0,1
150,2,5,0,1

# Hanh vi tan cong Web Scanning (label=1)
0,0,150,1,1
1,1,200,0,1
0,0,300,2,1

# Hanh vi tan cong SQL Injection (label=1)
0,0,5,10,1
0,0,20,15,1
1,1,10,25,1

# Hanh vi tan cong hon hop (label=1)
30,2,80,5,1
100,5,100,10,1
